entity,timestamp,keyword,article_url_1,article_title_1,article_url_2,article_title_2,article_url_3,article_title_3
NBA,2020-11-02 22:35:08,NBA rumors,https://nba.nbcsports.com/2020/11/02/lakers-jared-dudley-50-game-nba-season-hard-no-for-the-players/,Lakers’ Jared Dudley: 50-game NBA season ‘hard no for the players’,https://www.espn.com/nba/story/_/id/30245570/new-team-president-daryl-morey-likes-philadelphia-76ers-roster-says-goal-championship,"New team president Daryl Morey likes Philadelphia 76ers' roster, says goal 
is championship",https://screenrant.com/amazing-race-32-nba-basketball-players-jerry-eaves/,The Amazing Race: All The NBA Players Like Jerry Who've Been The Show
NBA,2020-11-02 22:35:08,Obama and LeBron,https://clutchpoints.com/lakers-news-donald-trump-takes-jab-at-lebron-james-gets-crowd-to-chant-lebron-sucks/,"Donald Trump takes jab at LeBron James, gets crowd to chant ‘LeBron sucks!’",https://sports.yahoo.com/civil-rights-groups-warn-nba-adam-silver-using-kansas-city-home-toronto-raptors-black-lives-matter-033023192.html,"Civil rights groups warn NBA against Kansas City as temporary home for 
Raptors",https://bleacherreport.com/articles/2915989-the-1-player-every-nba-team-needs-to-target-this-offseason,The 1 Player Every NBA Team Needs to Target This Offseason
NBA,2020-11-02 22:10:39,NBA rumor,https://sports.yahoo.com/nba-mock-draft-volume-two-170603853.html,"NBA Mock Draft, Volume Two",,,,
NBA,2020-11-02 22:10:39,NBA 2021 season start,https://nba.nbcsports.com/2020/11/02/lakers-jared-dudley-50-game-nba-season-hard-no-for-the-players/,Lakers’ Jared Dudley: 50-game NBA season ‘hard no for the players’,https://www.espn.com/nba/story/_/id/30245570/new-team-president-daryl-morey-likes-philadelphia-76ers-roster-says-goal-championship,"New team president Daryl Morey likes Philadelphia 76ers' roster, says goal 
is championship",https://screenrant.com/amazing-race-32-nba-basketball-players-jerry-eaves/,The Amazing Race: All The NBA Players Like Jerry Who've Been The Show
