timestamp,keywords
2020-10-15 22:52:06,Microsoft and GameStop
2020-10-15 22:52:06,Xbox Series X expansion card
2020-10-15 11:30:30,Xbox dashboard update
2020-10-15 11:30:30,Xbox One news
2020-10-15 11:30:30,Nacon Xbox controller
