timestamp,keywords
2020-10-15 22:51:15,Thursday night NFL game tonight
2020-10-15 22:51:15,Denver Broncos quarterback
2020-10-15 22:51:15,49ers Fred Dean
2020-10-15 11:31:15,2020 NFL TV ratings
2020-10-15 11:30:12,NFL Power Rankings
2020-10-15 11:30:12,Baltimore Ravens
2020-10-15 11:30:12,San Francisco 49ers
2020-10-15 11:30:12,2020 NFL TV ratings
